Ensembl Gene ID	Ensembl Transcript ID
ENSMUSG00000076548	ENSMUST00000103349
ENSMUSG00000076549	ENSMUST00000103350
ENSMUSG00000076550	ENSMUST00000103351
ENSMUSG00000076551	ENSMUST00000103352
ENSMUSG00000076552	ENSMUST00000103353
ENSMUSG00000076553	ENSMUST00000103354
ENSMUSG00000076554	ENSMUST00000103355
ENSMUSG00000076555	ENSMUST00000103356
ENSMUSG00000076556	ENSMUST00000103357
ENSMUSG00000076557	ENSMUST00000103358
ENSMUSG00000076558	ENSMUST00000103359
ENSMUSG00000076559	ENSMUST00000103360
ENSMUSG00000076560	ENSMUST00000103361
ENSMUSG00000076561	ENSMUST00000103362
ENSMUSG00000076562	ENSMUST00000103363
ENSMUSG00000076563	ENSMUST00000103364
ENSMUSG00000076564	ENSMUST00000103365
ENSMUSG00000076565	ENSMUST00000103366
ENSMUSG00000076566	ENSMUST00000103367
ENSMUSG00000076567	ENSMUST00000103368
ENSMUSG00000076568	ENSMUST00000103369
ENSMUSG00000076569	ENSMUST00000103370
ENSMUSG00000076570	ENSMUST00000103371
ENSMUSG00000076571	ENSMUST00000103372
ENSMUSG00000076572	ENSMUST00000103373
ENSMUSG00000076573	ENSMUST00000103374
ENSMUSG00000076574	ENSMUST00000103375
ENSMUSG00000076575	ENSMUST00000103376
ENSMUSG00000076576	ENSMUST00000103377
ENSMUSG00000076577	ENSMUST00000103378
ENSMUSG00000076578	ENSMUST00000103379
ENSMUSG00000076579	ENSMUST00000103380
ENSMUSG00000076580	ENSMUST00000103381
ENSMUSG00000076581	ENSMUST00000103382
ENSMUSG00000076582	ENSMUST00000103383
ENSMUSG00000076583	ENSMUST00000103384
ENSMUSG00000076584	ENSMUST00000103385
ENSMUSG00000076585	ENSMUST00000103386
ENSMUSG00000079230	ENSMUST00000111462
ENSMUSG00000076586	ENSMUST00000103387
ENSMUSG00000076587	ENSMUST00000103388
ENSMUSG00000076588	ENSMUST00000103389
ENSMUSG00000076589	ENSMUST00000103390
ENSMUSG00000076590	ENSMUST00000103391
ENSMUSG00000076591	ENSMUST00000103392
ENSMUSG00000076592	ENSMUST00000103393
ENSMUSG00000072477	ENSMUST00000097219
ENSMUSG00000079229	ENSMUST00000111459
ENSMUSG00000076593	ENSMUST00000103394
ENSMUSG00000076594	ENSMUST00000103395
ENSMUSG00000076595	ENSMUST00000103396
ENSMUSG00000076596	ENSMUST00000103397
ENSMUSG00000076597	ENSMUST00000103398
ENSMUSG00000076598	ENSMUST00000103399
ENSMUSG00000076599	ENSMUST00000103400
ENSMUSG00000076600	ENSMUST00000103401
ENSMUSG00000076601	ENSMUST00000103402
ENSMUSG00000076602	ENSMUST00000103403
ENSMUSG00000076603	ENSMUST00000103404
ENSMUSG00000076604	ENSMUST00000103405
ENSMUSG00000076605	ENSMUST00000103406
ENSMUSG00000076606	ENSMUST00000103407
ENSMUSG00000076607	ENSMUST00000103408
ENSMUSG00000076608	ENSMUST00000103409
ENSMUSG00000076609	ENSMUST00000103410
ENSMUSG00000068396	ENSMUST00000089781
ENSMUSG00000071358	ENSMUST00000088937
ENSMUSG00000072476	ENSMUST00000097218
ENSMUSG00000063692	ENSMUST00000076334
ENSMUSG00000040078	ENSMUST00000046048
ENSMUSG00000072940	ENSMUST00000101207
ENSMUSG00000072939	ENSMUST00000101204
ENSMUSG00000068235	ENSMUST00000089423
ENSMUSG00000061843	ENSMUST00000081101
ENSMUSG00000068228	ENSMUST00000089408
ENSMUSG00000072894	ENSMUST00000096117
ENSMUSG00000069193	ENSMUST00000091500
ENSMUSG00000057356	ENSMUST00000081211
ENSMUSG00000079224	ENSMUST00000111428
ENSMUSG00000043024	ENSMUST00000062429
ENSMUSG00000068102	ENSMUST00000089160
ENSMUSG00000029633	ENSMUST00000051685
ENSMUSG00000078281	ENSMUST00000105078
ENSMUSG00000060214	ENSMUST00000059673
ENSMUSG00000062800	ENSMUST00000072499
ENSMUSG00000060393	ENSMUST00000077886
ENSMUSG00000071237	ENSMUST00000095552
ENSMUSG00000037792	ENSMUST00000092741
ENSMUSG00000072800	ENSMUST00000100995
ENSMUSG00000055093	ENSMUST00000068506
ENSMUSG00000072789	ENSMUST00000079261
ENSMUSG00000067783	ENSMUST00000088480
ENSMUSG00000053173	ENSMUST00000054444
ENSMUSG00000058700	ENSMUST00000080061
ENSMUSG00000079223	ENSMUST00000111425
ENSMUSG00000058873	ENSMUST00000075251
ENSMUSG00000056252	ENSMUST00000070262
ENSMUSG00000055091	ENSMUST00000068477
ENSMUSG00000071141	ENSMUST00000075291
ENSMUSG00000064163	ENSMUST00000072252
ENSMUSG00000072690	ENSMUST00000100836
ENSMUSG00000067389	ENSMUST00000087588
ENSMUSG00000067344	ENSMUST00000087454
ENSMUSG00000058968	ENSMUST00000075077
ENSMUSG00000063640	ENSMUST00000073474
ENSMUSG00000053885	ENSMUST00000047953
ENSMUSG00000056872	ENSMUST00000077868
ENSMUSG00000063846	ENSMUST00000079524
ENSMUSG00000079189	ENSMUST00000111359
ENSMUSG00000062784	ENSMUST00000081922
ENSMUSG00000068243	ENSMUST00000089441
ENSMUSG00000059706	ENSMUST00000075518
ENSMUSG00000068200	ENSMUST00000089340
ENSMUSG00000057869	ENSMUST00000080362
ENSMUSG00000058791	ENSMUST00000080631
ENSMUSG00000068176	ENSMUST00000089294
ENSMUSG00000071792	ENSMUST00000077630
ENSMUSG00000071791	ENSMUST00000096481
ENSMUSG00000055939	ENSMUST00000069728
ENSMUSG00000068112	ENSMUST00000089175
ENSMUSG00000068096	ENSMUST00000089149
ENSMUSG00000079297	ENSMUST00000112099
ENSMUSG00000068052	ENSMUST00000089069
ENSMUSG00000073239	ENSMUST00000101630
ENSMUSG00000073238	ENSMUST00000076633
ENSMUSG00000059927	ENSMUST00000081119
ENSMUSG00000047711	ENSMUST00000057997
ENSMUSG00000068014	ENSMUST00000088972
ENSMUSG00000067946	ENSMUST00000088819
ENSMUSG00000055574	ENSMUST00000054770
ENSMUSG00000050900	ENSMUST00000055613
ENSMUSG00000067829	ENSMUST00000088572
ENSMUSG00000045862	ENSMUST00000051985
ENSMUSG00000060753	ENSMUST00000080155
ENSMUSG00000073140	ENSMUST00000101507
ENSMUSG00000043688	ENSMUST00000050295
ENSMUSG00000059611	ENSMUST00000076596
ENSMUSG00000043195	ENSMUST00000055871
ENSMUSG00000073095	ENSMUST00000101434
ENSMUSG00000070641	ENSMUST00000094550
ENSMUSG00000048709	ENSMUST00000077003
ENSMUSG00000073086	ENSMUST00000101420
ENSMUSG00000067669	ENSMUST00000088183
ENSMUSG00000062764	ENSMUST00000074060
ENSMUSG00000067632	ENSMUST00000088091
ENSMUSG00000073060	ENSMUST00000101384
ENSMUSG00000058786	ENSMUST00000075548
ENSMUSG00000073014	ENSMUST00000081831
ENSMUSG00000040577	ENSMUST00000112091
ENSMUSG00000055700	ENSMUST00000069427
ENSMUSG00000059722	ENSMUST00000080865
ENSMUSG00000050355	ENSMUST00000053291
ENSMUSG00000063836	ENSMUST00000073469
ENSMUSG00000047099	ENSMUST00000056162
ENSMUSG00000067441	ENSMUST00000087682
ENSMUSG00000074353	ENSMUST00000098774
ENSMUSG00000071704	ENSMUST00000096343
ENSMUSG00000072993	ENSMUST00000101267
ENSMUSG00000071703	ENSMUST00000096342
ENSMUSG00000072990	ENSMUST00000101264
ENSMUSG00000072989	ENSMUST00000101263
ENSMUSG00000071696	ENSMUST00000087615
ENSMUSG00000078121	ENSMUST00000104920
ENSMUSG00000072986	ENSMUST00000096337
ENSMUSG00000063248	ENSMUST00000096334
ENSMUSG00000071694	ENSMUST00000101260
ENSMUSG00000072985	ENSMUST00000073133
ENSMUSG00000071693	ENSMUST00000096331
ENSMUSG00000072984	ENSMUST00000101259
ENSMUSG00000072068	ENSMUST00000096813
ENSMUSG00000061044	ENSMUST00000077490
ENSMUSG00000071680	ENSMUST00000096305
ENSMUSG00000072935	ENSMUST00000101199
ENSMUSG00000048071	ENSMUST00000060411
ENSMUSG00000051428	ENSMUST00000062492
ENSMUSG00000079401	ENSMUST00000112800
ENSMUSG00000072901	ENSMUST00000087239
ENSMUSG00000061146	ENSMUST00000078552
ENSMUSG00000079294	ENSMUST00000112084
ENSMUSG00000049329	ENSMUST00000054322
ENSMUSG00000043469	ENSMUST00000060354
ENSMUSG00000059461	ENSMUST00000073637
ENSMUSG00000051139	ENSMUST00000059320
ENSMUSG00000067147	ENSMUST00000087025
ENSMUSG00000045420	ENSMUST00000061011
ENSMUSG00000043396	ENSMUST00000052243
ENSMUSG00000079288	ENSMUST00000096622
ENSMUSG00000073669	ENSMUST00000097728
ENSMUSG00000054113	ENSMUST00000066965
ENSMUSG00000075283	ENSMUST00000100010
ENSMUSG00000051133	ENSMUST00000050339
ENSMUSG00000042878	ENSMUST00000053754
ENSMUSG00000075227	ENSMUST00000099935
ENSMUSG00000062508	ENSMUST00000076297
ENSMUSG00000002290	ENSMUST00000048874
ENSMUSG00000024761	ENSMUST00000025669
ENSMUSG00000067608	ENSMUST00000088040
ENSMUSG00000079226	ENSMUST00000111433
ENSMUSG00000051548	ENSMUST00000054711
ENSMUSG00000040065	ENSMUST00000045624
ENSMUSG00000050904	ENSMUST00000051412
ENSMUSG00000074985	ENSMUST00000099644
ENSMUSG00000058078	ENSMUST00000076614
ENSMUSG00000063586	ENSMUST00000072982
ENSMUSG00000059511	ENSMUST00000071632
ENSMUSG00000075268	ENSMUST00000099988
ENSMUSG00000046388	ENSMUST00000051080
ENSMUSG00000047168	ENSMUST00000053717
ENSMUSG00000045104	ENSMUST00000060477
ENSMUSG00000058816	ENSMUST00000078012
ENSMUSG00000062456	ENSMUST00000078034
ENSMUSG00000067224	ENSMUST00000087222
ENSMUSG00000067199	ENSMUST00000087155
ENSMUSG00000072324	ENSMUST00000097103
ENSMUSG00000047509	ENSMUST00000057752
ENSMUSG00000049591	ENSMUST00000056591
ENSMUSG00000058350	ENSMUST00000082039
ENSMUSG00000071497	ENSMUST00000095978
ENSMUSG00000067063	ENSMUST00000086830
ENSMUSG00000043623	ENSMUST00000061046
ENSMUSG00000071460	ENSMUST00000095911
ENSMUSG00000079217	ENSMUST00000111418
ENSMUSG00000074501	ENSMUST00000053326
ENSMUSG00000066914	ENSMUST00000086496
ENSMUSG00000066912	ENSMUST00000086493
ENSMUSG00000066905	ENSMUST00000086482
ENSMUSG00000061390	ENSMUST00000071965
ENSMUSG00000066826	ENSMUST00000086276
ENSMUSG00000068402	ENSMUST00000089792
ENSMUSG00000070314	ENSMUST00000093869
ENSMUSG00000061932	ENSMUST00000071770
ENSMUSG00000058521	ENSMUST00000073577
ENSMUSG00000063732	ENSMUST00000075798
ENSMUSG00000044107	ENSMUST00000055796
ENSMUSG00000066639	ENSMUST00000085747
ENSMUSG00000070308	ENSMUST00000093863
ENSMUSG00000074416	ENSMUST00000098869
ENSMUSG00000060467	ENSMUST00000075585
ENSMUSG00000058443	ENSMUST00000076364
ENSMUSG00000050570	ENSMUST00000062772
ENSMUSG00000059830	ENSMUST00000077997
ENSMUSG00000057818	ENSMUST00000081412
ENSMUSG00000059237	ENSMUST00000075401
ENSMUSG00000059422	ENSMUST00000074819
ENSMUSG00000079225	ENSMUST00000055820
ENSMUSG00000056031	ENSMUST00000069896
ENSMUSG00000074142	ENSMUST00000051204
ENSMUSG00000051368	ENSMUST00000062914
ENSMUSG00000080229	ENSMUST00000116479
ENSMUSG00000061486	ENSMUST00000075243
ENSMUSG00000057626	ENSMUST00000076465
ENSMUSG00000047011	ENSMUST00000061316
ENSMUSG00000074050	ENSMUST00000098344
ENSMUSG00000056550	ENSMUST00000060257
ENSMUSG00000066270	ENSMUST00000084813
ENSMUSG00000033925	ENSMUST00000077180
ENSMUSG00000074000	ENSMUST00000098267
ENSMUSG00000058492	ENSMUST00000072166
ENSMUSG00000058922	ENSMUST00000040649
ENSMUSG00000062588	ENSMUST00000078030
ENSMUSG00000054338	ENSMUST00000067345
ENSMUSG00000067880	ENSMUST00000088671
ENSMUSG00000046334	ENSMUST00000063059
ENSMUSG00000069620	ENSMUST00000092507
ENSMUSG00000067809	ENSMUST00000088533
ENSMUSG00000062131	ENSMUST00000071523
ENSMUSG00000073737	ENSMUST00000086739
ENSMUSG00000054314	ENSMUST00000067309
ENSMUSG00000060128	ENSMUST00000073196
ENSMUSG00000046847	ENSMUST00000061136
ENSMUSG00000058590	ENSMUST00000081488
ENSMUSG00000070960	ENSMUST00000095050
ENSMUSG00000079141	ENSMUST00000110803
ENSMUSG00000042188	ENSMUST00000044356
ENSMUSG00000046858	ENSMUST00000054582
ENSMUSG00000068612	ENSMUST00000090272
ENSMUSG00000057359	ENSMUST00000072769
ENSMUSG00000067579	ENSMUST00000087958
ENSMUSG00000060587	ENSMUST00000080121
ENSMUSG00000073674	ENSMUST00000081004
ENSMUSG00000073663	ENSMUST00000097719
ENSMUSG00000046526	ENSMUST00000058059
ENSMUSG00000057599	ENSMUST00000078304
ENSMUSG00000061631	ENSMUST00000071892
ENSMUSG00000067744	ENSMUST00000088377
ENSMUSG00000033204	ENSMUST00000041620
ENSMUSG00000067106	ENSMUST00000086918
ENSMUSG00000047306	ENSMUST00000051583
ENSMUSG00000055952	ENSMUST00000069759
ENSMUSG00000079140	ENSMUST00000110799
ENSMUSG00000073632	ENSMUST00000097671
ENSMUSG00000064281	ENSMUST00000076377
ENSMUSG00000073631	ENSMUST00000097669
ENSMUSG00000080225	ENSMUST00000116471
ENSMUSG00000067121	ENSMUST00000086958
ENSMUSG00000079420	ENSMUST00000113008
ENSMUSG00000073606	ENSMUST00000097630
ENSMUSG00000044757	ENSMUST00000054664
ENSMUSG00000073605	ENSMUST00000097624
ENSMUSG00000056311	ENSMUST00000070355
ENSMUSG00000045406	ENSMUST00000061565
ENSMUSG00000067017	ENSMUST00000086725
ENSMUSG00000073586	ENSMUST00000097605
ENSMUSG00000070688	ENSMUST00000081994
ENSMUSG00000058603	ENSMUST00000076295
ENSMUSG00000066956	ENSMUST00000086596
ENSMUSG00000044687	ENSMUST00000053161
ENSMUSG00000060342	ENSMUST00000074513
ENSMUSG00000046367	ENSMUST00000052911
ENSMUSG00000079139	ENSMUST00000110798
ENSMUSG00000062473	ENSMUST00000071901
ENSMUSG00000057399	ENSMUST00000078119
ENSMUSG00000063886	ENSMUST00000076388
ENSMUSG00000079138	ENSMUST00000110797
ENSMUSG00000057808	ENSMUST00000081045
ENSMUSG00000046057	ENSMUST00000059337
ENSMUSG00000054332	ENSMUST00000072402
ENSMUSG00000073527	ENSMUST00000097513
ENSMUSG00000049540	ENSMUST00000058655
ENSMUSG00000058622	ENSMUST00000076828
ENSMUSG00000053925	ENSMUST00000084345
ENSMUSG00000079137	ENSMUST00000088784
ENSMUSG00000059058	ENSMUST00000077488
ENSMUSG00000066693	ENSMUST00000085919
ENSMUSG00000066680	ENSMUST00000085885
ENSMUSG00000050134	ENSMUST00000055873
ENSMUSG00000073488	ENSMUST00000097461
ENSMUSG00000070489	ENSMUST00000094270
ENSMUSG00000075392	ENSMUST00000080945
ENSMUSG00000056989	ENSMUST00000081833
ENSMUSG00000066645	ENSMUST00000085766
ENSMUSG00000063025	ENSMUST00000079293
ENSMUSG00000073474	ENSMUST00000097434
ENSMUSG00000079125	ENSMUST00000110771
ENSMUSG00000062353	ENSMUST00000078810
ENSMUSG00000073235	ENSMUST00000101628
ENSMUSG00000062019	ENSMUST00000071998
ENSMUSG00000070950	ENSMUST00000095028
ENSMUSG00000078183	ENSMUST00000104982
ENSMUSG00000050152	ENSMUST00000071771
ENSMUSG00000062038	ENSMUST00000078246
ENSMUSG00000046209	ENSMUST00000053060
ENSMUSG00000067748	ENSMUST00000088404
ENSMUSG00000060879	ENSMUST00000075377
ENSMUSG00000061468	ENSMUST00000077690
ENSMUSG00000049380	ENSMUST00000050672
ENSMUSG00000067719	ENSMUST00000088299
ENSMUSG00000073115	ENSMUST00000101469
ENSMUSG00000073113	ENSMUST00000101463
ENSMUSG00000044591	ENSMUST00000062754
ENSMUSG00000053214	ENSMUST00000065519
ENSMUSG00000067689	ENSMUST00000088218
ENSMUSG00000057290	ENSMUST00000079794
