Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000042851	2	128793138	128844299	1
ENSMUSG00000048766	4	112383752	112447471	-1
ENSMUSG00000029649	5	148672204	148687354	1
ENSMUSG00000014361	2	128524692	128628630	1
ENSMUSG00000038722	5	145901231	145908947	1
ENSMUSG00000040746	11	70460737	70464923	1
ENSMUSG00000027367	2	127095954	127124670	1
ENSMUSG00000078719	4	43596088	43597366	-1
ENSMUSG00000074822	2	127095445	127095768	-1
ENSMUSG00000014606	11	70457698	70460981	-1
ENSMUSG00000029622	5	145875084	145891574	1
ENSMUSG00000026821	2	28368645	28408601	1
ENSMUSG00000034850	2	127073644	127086843	1
ENSMUSG00000050675	11	70452624	70456328	1
ENSMUSG00000003662	2	127065501	127073496	-1
ENSMUSG00000029620	5	145803859	145806547	1
ENSMUSG00000026831	2	28317521	28321852	-1
ENSMUSG00000026833	2	28048512	28086256	1
ENSMUSG00000044145	2	127012091	127034016	-1
ENSMUSG00000020827	11	70376383	70427985	1
ENSMUSG00000032562	9	107516461	107537673	-1
ENSMUSG00000026837	2	27741945	27895034	1
ENSMUSG00000057969	9	107500005	107511560	-1
ENSMUSG00000070285	9	107495398	107499406	-1
ENSMUSG00000018286	11	70338869	70341360	1
ENSMUSG00000015846	2	27531960	27618477	1
ENSMUSG00000010051	9	107479258	107485174	1
ENSMUSG00000034610	4	108132031	108232026	1
ENSMUSG00000059816	4	108040382	108055954	-1
ENSMUSG00000026918	2	27301099	27363182	-1
ENSMUSG00000018921	11	70206385	70223533	-1
ENSMUSG00000009621	2	27117624	27282553	-1
ENSMUSG00000009216	2	26965900	26998011	-1
ENSMUSG00000083012	5	144309576	144325399	1
ENSMUSG00000036040	2	26934899	26964501	1
ENSMUSG00000001847	5	144266346	144288904	-1
ENSMUSG00000079111	5	144165499	144182951	1
ENSMUSG00000036067	2	26876883	26883518	-1
ENSMUSG00000015488	2	26865446	26876609	1
ENSMUSG00000027360	2	126419403	126445035	-1
ENSMUSG00000037977	9	107242933	107254753	1
ENSMUSG00000001844	5	144078168	144090935	-1
ENSMUSG00000037239	7	29943848	29954860	-1
ENSMUSG00000089876	11	69617099	69619172	-1
ENSMUSG00000030590	7	29937530	29941253	-1
ENSMUSG00000029547	5	140227236	140251632	-1
ENSMUSG00000029009	4	147413186	147433660	1
ENSMUSG00000018750	11	69579414	69597525	1
ENSMUSG00000018776	11	69573392	69575470	-1
ENSMUSG00000036718	5	140182647	140212287	-1
ENSMUSG00000073623	1	89693042	89693392	1
ENSMUSG00000005803	2	122590973	122635305	1
ENSMUSG00000029541	5	139828571	139832987	1
ENSMUSG00000036281	2	26218285	26236173	-1
ENSMUSG00000056413	5	139747830	139801576	-1
ENSMUSG00000090170	11	69496079	69509600	-1
ENSMUSG00000043572	4	106323674	106327887	1
ENSMUSG00000005204	11	69486612	69495586	-1
ENSMUSG00000030592	7	29788359	29910170	-1
ENSMUSG00000059796	11	69480438	69485925	-1
ENSMUSG00000044254	4	106114934	106136934	-1
ENSMUSG00000036327	2	26064645	26093045	-1
ENSMUSG00000026499	1	182656174	182684334	1
ENSMUSG00000051735	7	29573988	29583982	1
ENSMUSG00000026288	1	89516887	89617082	1
ENSMUSG00000090150	9	103942992	104029976	1
ENSMUSG00000026939	2	25475587	25477525	-1
ENSMUSG00000029730	5	138605811	138613650	-1
ENSMUSG00000027248	2	121239511	121264423	1
ENSMUSG00000074603	3	51497693	51499012	1
ENSMUSG00000022394	15	81494366	81518735	1
ENSMUSG00000070890	4	101613012	101615788	1
ENSMUSG00000037028	4	101581726	101584513	1
ENSMUSG00000032807	11	68970491	68983294	1
ENSMUSG00000032558	9	103904874	103946060	1
ENSMUSG00000020892	11	68939398	68962617	1
ENSMUSG00000015149	7	29551754	29573684	1
ENSMUSG00000037017	5	138558131	138575493	1
ENSMUSG00000055024	15	81415781	81482507	1
ENSMUSG00000091938	4	41941480	41943464	-1
ENSMUSG00000073883	4	41903740	41905449	-1
ENSMUSG00000040148	7	138686477	138688443	1
ENSMUSG00000066688	4	143204906	143208498	1
ENSMUSG00000023216	2	120843627	120862808	-1
ENSMUSG00000037364	5	137736932	137748902	-1
ENSMUSG00000026958	2	25207796	25211879	-1
ENSMUSG00000028439	4	41464724	41516571	-1
ENSMUSG00000043279	5	137581514	137592079	-1
ENSMUSG00000054484	2	120802753	120833588	1
ENSMUSG00000025762	3	40825861	40844156	1
ENSMUSG00000040606	4	141658305	141795316	-1
ENSMUSG00000091806	1	88219842	88220168	1
ENSMUSG00000091079	14	25057394	25062613	-1
ENSMUSG00000071567	14	24111513	24112865	-1
ENSMUSG00000068680	14	23857416	23913793	-1
ENSMUSG00000037640	7	28516408	28538721	1
ENSMUSG00000004952	5	136559786	136587730	1
ENSMUSG00000089682	14	55502214	55507067	1
ENSMUSG00000006143	5	136530362	136540196	1
ENSMUSG00000022180	14	55341053	55400723	-1
ENSMUSG00000084940	14	22560765	22565854	1
ENSMUSG00000026494	1	180459256	180862986	1
ENSMUSG00000074432	3	92877408	92879427	1
ENSMUSG00000022420	15	79591883	79608279	-1
ENSMUSG00000074433	3	92771899	92772201	1
ENSMUSG00000013465	2	25055232	25067009	-1
ENSMUSG00000090503	14	20330589	20331780	1
ENSMUSG00000033352	11	65501745	65601799	-1
ENSMUSG00000054325	3	92729213	92730152	-1
ENSMUSG00000078202	2	25036278	25038850	1
ENSMUSG00000040697	4	141316104	141346846	-1
ENSMUSG00000036805	2	24941187	24950669	-1
ENSMUSG00000037681	9	99210386	99258949	-1
ENSMUSG00000045799	14	9632512	9633028	-1
ENSMUSG00000049460	14	8633722	8634544	1
ENSMUSG00000068890	3	92472535	92474237	-1
ENSMUSG00000074435	3	92387814	92392896	-1
ENSMUSG00000039630	1	180253205	180267928	-1
ENSMUSG00000039917	5	136108488	136122318	1
ENSMUSG00000004814	5	136045807	136048913	-1
ENSMUSG00000070464	5	136036318	136039439	-1
ENSMUSG00000091257	14	6466616	6467105	-1
ENSMUSG00000042189	11	62875156	62908466	1
ENSMUSG00000074445	3	92054654	92093169	1
ENSMUSG00000030849	7	137305965	140315033	-1
ENSMUSG00000022185	14	55260998	55305768	-1
ENSMUSG00000022428	15	79489657	79498090	1
ENSMUSG00000090927	14	6062688	6063117	1
ENSMUSG00000043165	3	91884197	91887064	-1
ENSMUSG00000042564	15	79440006	79489386	-1
ENSMUSG00000026452	1	136605877	136649726	1
ENSMUSG00000062627	4	94608731	94645791	-1
ENSMUSG00000079379	14	6025216	6031024	-1
ENSMUSG00000082131	11	60480186	60480567	-1
ENSMUSG00000006219	4	141131977	141162011	-1
ENSMUSG00000048170	7	135839955	135884009	-1
ENSMUSG00000081753	11	60444549	60446531	-1
ENSMUSG00000028576	4	94281182	94359920	1
ENSMUSG00000082753	11	60432848	60433229	-1
ENSMUSG00000009035	15	79191114	79233733	-1
ENSMUSG00000081203	11	60423638	60424019	-1
ENSMUSG00000082105	11	60405223	60405604	-1
ENSMUSG00000079319	1	136373211	136373787	-1
ENSMUSG00000087249	11	59623582	59631993	1
ENSMUSG00000043614	5	135548770	135554136	-1
ENSMUSG00000028409	4	40683575	40704956	-1
ENSMUSG00000018126	15	79088625	79115967	-1
ENSMUSG00000064252	11	58355905	58358440	-1
ENSMUSG00000085342	11	58322293	58322763	-1
ENSMUSG00000079234	14	55056348	55056679	-1
ENSMUSG00000083657	11	57762231	57762587	-1
ENSMUSG00000005378	5	135528827	135540829	-1
ENSMUSG00000085772	11	31690113	31724524	-1
ENSMUSG00000079890	11	31077818	31084374	-1
ENSMUSG00000082213	11	30903295	30903898	-1
ENSMUSG00000027298	2	119623469	119643840	1
ENSMUSG00000086986	11	30722242	30722670	-1
ENSMUSG00000083990	11	30654572	30654961	-1
ENSMUSG00000087474	11	30650832	30656147	1
ENSMUSG00000080906	11	29882414	29883229	1
ENSMUSG00000020528	11	61543152	61575590	-1
ENSMUSG00000080851	11	29740375	29740846	1
ENSMUSG00000066672	1	176299050	176299979	1
ENSMUSG00000083917	11	29588241	29589835	-1
ENSMUSG00000084850	11	29512324	29545509	-1
ENSMUSG00000032409	9	95758016	95852063	1
ENSMUSG00000083298	11	29233383	29234322	-1
ENSMUSG00000085510	11	28651633	28715767	1
ENSMUSG00000084966	11	28581564	28593276	1
ENSMUSG00000084905	11	28260362	28264339	1
ENSMUSG00000083201	11	27946035	27949117	1
ENSMUSG00000084064	11	27783112	27783355	1
ENSMUSG00000027997	3	129604343	129617021	1
ENSMUSG00000080987	11	26756387	26756910	-1
ENSMUSG00000026976	2	24276071	24331119	-1
ENSMUSG00000037996	4	86629028	86876381	-1
ENSMUSG00000087145	11	24803983	24826058	-1
ENSMUSG00000081767	11	24452438	24453962	-1
ENSMUSG00000086459	11	23397753	23399661	1
ENSMUSG00000028012	3	129507326	129525423	-1
ENSMUSG00000085803	11	22634041	22637940	1
ENSMUSG00000085979	11	22629900	22632989	-1
ENSMUSG00000001036	11	61330751	61393187	-1
ENSMUSG00000032839	9	95607046	95650777	-1
ENSMUSG00000078962	11	21394733	21411181	-1
ENSMUSG00000033088	15	78778154	78836299	1
ENSMUSG00000082607	11	21391317	21391889	1
ENSMUSG00000084412	11	21351145	21351357	-1
ENSMUSG00000087253	11	21270403	21274164	1
ENSMUSG00000041650	14	122933546	123290322	1
ENSMUSG00000073559	1	136005915	136006417	1
ENSMUSG00000086911	11	19526764	19528064	-1
ENSMUSG00000081054	11	19260929	19261072	-1
ENSMUSG00000087507	11	18913820	18915157	1
ENSMUSG00000026532	1	176102907	176178581	1
ENSMUSG00000001016	3	90280123	90292301	1
ENSMUSG00000068221	15	78744349	78749947	1
ENSMUSG00000086468	11	17853973	17859581	1
ENSMUSG00000054203	1	175942129	175961886	-1
ENSMUSG00000082411	11	17538506	17539186	-1
ENSMUSG00000020423	1	135971747	135975697	-1
ENSMUSG00000083752	11	16917855	16922083	1
ENSMUSG00000042436	11	61298933	61302402	1
ENSMUSG00000070034	1	87473474	87495392	-1
ENSMUSG00000079459	1	85084982	85106428	-1
ENSMUSG00000028300	4	35138534	35173424	-1
ENSMUSG00000087060	11	16835157	16851285	-1
ENSMUSG00000030789	7	135273061	135294171	1
ENSMUSG00000042993	4	35099305	35101254	1
ENSMUSG00000052974	7	27904928	27918679	1
ENSMUSG00000027304	2	119500804	119561143	1
ENSMUSG00000084055	11	12897669	12898386	1
ENSMUSG00000045004	4	140644248	140668675	1
ENSMUSG00000089844	1	85079644	85106428	-1
ENSMUSG00000091867	7	27716650	27724405	-1
ENSMUSG00000029673	5	131913205	133019214	-1
ENSMUSG00000083527	11	12025093	12028001	-1
ENSMUSG00000085652	11	11542206	11585403	-1
ENSMUSG00000081325	11	11336987	11337778	1
ENSMUSG00000087512	11	7083156	7086293	-1
ENSMUSG00000066113	4	85699819	86074289	1
ENSMUSG00000026774	2	23062996	23122649	1
ENSMUSG00000082579	11	6685841	6686583	-1
ENSMUSG00000043263	1	175560990	175578059	1
ENSMUSG00000080833	11	6618921	6619498	-1
ENSMUSG00000010122	11	61156902	61191847	-1
ENSMUSG00000083075	11	6585827	6586812	1
ENSMUSG00000053754	14	52817826	52857466	-1
ENSMUSG00000026781	2	22923688	22970030	1
ENSMUSG00000052407	4	83171449	83510635	1
ENSMUSG00000027313	2	119176965	119180117	1
ENSMUSG00000079889	11	3533015	3533445	-1
ENSMUSG00000037860	1	175281010	175396171	1
ENSMUSG00000025532	5	130505160	130536659	1
ENSMUSG00000087291	11	3430160	3436859	1
ENSMUSG00000072571	14	52636540	52639462	1
ENSMUSG00000042506	11	60965287	60988557	-1
ENSMUSG00000028294	4	34635808	34677455	-1
ENSMUSG00000034587	11	3352368	3379834	1
ENSMUSG00000036972	9	91263810	91284186	1
ENSMUSG00000053263	11	3205429	3231181	-1
ENSMUSG00000082658	11	3096457	3096827	-1
ENSMUSG00000087111	11	3042051	3043366	1
ENSMUSG00000010142	11	60940257	60962874	1
ENSMUSG00000032368	9	91252896	91260648	-1
ENSMUSG00000082286	11	3025907	3031007	1
ENSMUSG00000066735	5	130417979	130460615	1
ENSMUSG00000046605	11	121477511	121534467	-1
ENSMUSG00000034173	5	130371593	130379493	1
ENSMUSG00000068227	15	78310983	78325496	-1
ENSMUSG00000058835	2	22795593	22895761	-1
ENSMUSG00000063254	7	135126593	135129215	1
ENSMUSG00000028292	4	34562206	34607416	1
ENSMUSG00000034278	2	118998236	119034531	-1
ENSMUSG00000071711	15	78237142	78244432	1
ENSMUSG00000029447	5	130293315	130321696	1
ENSMUSG00000040703	7	26587494	26601932	-1
ENSMUSG00000070730	2	118962737	118982770	-1
ENSMUSG00000059049	4	82543825	82698243	-1
ENSMUSG00000038192	4	82527655	82531052	-1
ENSMUSG00000039253	11	121282715	121292602	1
ENSMUSG00000029432	5	130230938	130264203	1
ENSMUSG00000062270	9	89986509	90009658	-1
ENSMUSG00000027323	2	118938529	118973181	1
ENSMUSG00000018599	11	60541900	60546453	1
ENSMUSG00000071713	15	78156420	78184277	1
ENSMUSG00000032359	9	89948990	89970927	1
ENSMUSG00000030801	7	135056031	135069346	1
ENSMUSG00000040725	7	26506517	26539749	-1
ENSMUSG00000072572	14	52512564	52516420	1
ENSMUSG00000026548	1	174405489	174408706	1
ENSMUSG00000042650	11	60349883	60372014	1
ENSMUSG00000040035	2	118605455	118637029	1
ENSMUSG00000032353	9	89594041	89599881	-1
ENSMUSG00000030802	7	135047596	135053178	1
ENSMUSG00000044288	4	34011568	34035806	1
ENSMUSG00000025557	14	121858841	121904475	-1
ENSMUSG00000060376	7	26414871	26443780	-1
ENSMUSG00000071715	15	78075231	78093010	1
ENSMUSG00000074146	9	89046843	89072651	-1
ENSMUSG00000079162	9	88979462	88987673	-1
ENSMUSG00000090693	9	88734147	88743022	1
ENSMUSG00000029483	5	126259004	126268438	1
ENSMUSG00000074148	9	88618126	88626708	-1
ENSMUSG00000054679	4	33295966	33320315	1
ENSMUSG00000026149	1	82753224	82765036	-1
ENSMUSG00000046561	3	126066745	126143292	1
ENSMUSG00000074923	2	118489039	118523756	1
ENSMUSG00000037905	5	125921938	125941242	1
ENSMUSG00000000538	11	60040216	60166407	-1
ENSMUSG00000040133	2	118102846	118199155	-1
ENSMUSG00000007107	1	174153644	174188545	-1
ENSMUSG00000051154	2	18594011	18597858	1
ENSMUSG00000045639	7	134750545	134759311	-1
ENSMUSG00000020422	11	8331655	8564538	-1
ENSMUSG00000030816	7	134732212	134747119	1
ENSMUSG00000027344	2	118030624	118082702	-1
ENSMUSG00000020427	11	7106089	7113926	-1
ENSMUSG00000026740	2	18117281	18314457	-1
ENSMUSG00000020429	11	7097785	7102549	1
ENSMUSG00000027708	3	35791900	35836367	-1
ENSMUSG00000052098	4	139876571	139879217	-1
ENSMUSG00000090330	7	26013706	26015276	1
ENSMUSG00000040972	4	139582761	139802699	-1
ENSMUSG00000042423	7	134628735	134635027	1
ENSMUSG00000068252	15	77252640	77277922	-1
ENSMUSG00000025140	11	120497026	120505083	-1
ENSMUSG00000026553	1	174012660	174052461	1
ENSMUSG00000091207	11	6374795	6375920	-1
ENSMUSG00000057177	7	26013277	26022870	-1
ENSMUSG00000054499	7	25987859	26004878	-1
ENSMUSG00000028738	4	139209453	139226195	1
ENSMUSG00000038095	5	124818711	124875923	-1
ENSMUSG00000027679	3	33954942	33980243	-1
ENSMUSG00000045757	7	134547182	134550336	-1
ENSMUSG00000022136	14	119337154	119380924	1
ENSMUSG00000029394	5	124795426	124804680	-1
ENSMUSG00000040383	2	113926906	114012760	-1
ENSMUSG00000044061	11	59426468	59427727	1
ENSMUSG00000091610	NT_166354	434362	435045	1
ENSMUSG00000090359	NT_166354	359515	360504	1
ENSMUSG00000030823	7	134525774	134530680	-1
ENSMUSG00000090694	NT_166354	293264	293962	1
ENSMUSG00000032415	9	86200841	86358557	-1
ENSMUSG00000026718	2	13995727	14069965	1
ENSMUSG00000020472	11	59299022	59340253	-1
ENSMUSG00000023236	2	113616519	113669278	-1
ENSMUSG00000022132	14	119187093	119274711	1
ENSMUSG00000047371	7	134486311	134488898	-1
ENSMUSG00000063275	2	13897190	13977762	-1
ENSMUSG00000074934	2	113586321	113598803	-1
ENSMUSG00000025132	11	120439418	120442938	-1
ENSMUSG00000063236	15	76778969	76781159	1
ENSMUSG00000062110	5	74600841	74927772	-1
ENSMUSG00000066452	9	84317582	84318433	1
ENSMUSG00000003418	2	13572647	13715435	-1
ENSMUSG00000003970	15	76734501	76736748	1
ENSMUSG00000032263	9	83818757	84017846	1
ENSMUSG00000029404	5	124566098	124568205	1
ENSMUSG00000055041	15	76730340	76731735	1
ENSMUSG00000090522	9	83775821	83779657	1
ENSMUSG00000033669	15	76709689	76722822	1
ENSMUSG00000061517	14	118632454	118636252	-1
ENSMUSG00000022131	14	118536349	118563454	1
ENSMUSG00000009894	11	59220636	59264688	-1
ENSMUSG00000039298	4	69877890	70071477	-1
ENSMUSG00000026249	1	79790772	79855271	-1
ENSMUSG00000044042	2	113167893	113556924	1
ENSMUSG00000048076	11	59024914	59041772	-1
ENSMUSG00000029155	5	74042619	74070723	1
ENSMUSG00000029156	5	74023988	74038983	-1
ENSMUSG00000025129	11	120411293	120412446	-1
ENSMUSG00000040907	7	25763186	25790976	-1
ENSMUSG00000091661	9	123681303	123700057	-1
ENSMUSG00000091172	9	123544506	123546443	1
ENSMUSG00000090608	9	123587214	123610164	1
ENSMUSG00000051111	13	96729398	96902532	-1
ENSMUSG00000035790	16	32099886	32108155	1
ENSMUSG00000021675	13	96466808	96472694	1
ENSMUSG00000022781	16	32016376	32079428	-1
ENSMUSG00000035597	12	66137320	66164373	1
ENSMUSG00000045625	16	31933937	31946132	1
ENSMUSG00000035614	12	66066729	66123560	1
ENSMUSG00000024421	18	12492533	12741522	1
ENSMUSG00000031278	X	138752536	138825078	-1
ENSMUSG00000090122	X	138739295	138740837	-1
ENSMUSG00000057766	18	12410871	12464229	-1
ENSMUSG00000021681	13	96120638	96145307	-1
ENSMUSG00000041995	13	96095192	96107796	1
ENSMUSG00000075256	2	79170700	79296942	-1
ENSMUSG00000042271	X	138661313	138674235	1
ENSMUSG00000024413	18	12348202	12394909	-1
ENSMUSG00000031095	X	35884800	35929373	-1
ENSMUSG00000020948	12	66043427	66066523	-1
ENSMUSG00000047227	12	66018898	66025578	1
ENSMUSG00000042282	X	138515703	138631474	-1
ENSMUSG00000035653	12	62624137	62958915	1
ENSMUSG00000020986	12	60059370	60113004	-1
ENSMUSG00000071868	18	10482680	10483544	-1
ENSMUSG00000044033	2	76847960	77008693	-1
ENSMUSG00000022533	16	30312509	30388923	-1
ENSMUSG00000042942	18	10325177	10562939	1
ENSMUSG00000068173	X	35367085	35371992	-1
ENSMUSG00000073070	12	58665100	58723099	1
ENSMUSG00000052316	16	30269388	30283342	-1
ENSMUSG00000022528	16	30064470	30067882	1
ENSMUSG00000064137	X	35227972	35243943	-1
ENSMUSG00000079627	X	35083504	35087784	-1
ENSMUSG00000071769	X	35072199	35083271	-1
ENSMUSG00000045312	13	94827751	94965364	1
ENSMUSG00000092039	18	9916893	9917753	1
ENSMUSG00000091285	18	9726195	9726668	-1
ENSMUSG00000036103	18	9707646	9877993	1
ENSMUSG00000038084	16	29579420	29654970	1
ENSMUSG00000024286	18	9314042	9450148	-1
ENSMUSG00000042102	13	94444388	94522786	1
ENSMUSG00000092097	18	8694075	8694539	1
ENSMUSG00000079632	X	34985928	34990666	1
ENSMUSG00000042118	13	94425675	94444257	-1
ENSMUSG00000074768	13	94386846	94407916	-1
ENSMUSG00000048939	16	29231937	29378818	-1
ENSMUSG00000079635	X	34894844	34899631	1
ENSMUSG00000000759	8	12614277	12672248	-1
ENSMUSG00000024283	18	7868830	7973545	1
ENSMUSG00000047935	8	12385771	12436729	1
ENSMUSG00000022523	16	28160206	28445313	-1
ENSMUSG00000057440	18	7347960	7626861	-1
ENSMUSG00000042473	X	136219535	136287944	1
ENSMUSG00000021702	13	93521545	93564773	-1
ENSMUSG00000021703	13	93381093	93481899	1
ENSMUSG00000036551	X	34690693	34708837	-1
ENSMUSG00000021023	12	56403624	56483478	1
ENSMUSG00000048399	16	25286903	25422430	1
ENSMUSG00000042525	X	135713767	135715548	1
ENSMUSG00000036572	X	34631673	34650335	-1
ENSMUSG00000031511	8	11728105	11835219	1
ENSMUSG00000004366	16	23889667	23890930	-1
ENSMUSG00000033355	16	23610005	23614308	1
ENSMUSG00000079641	X	34622515	34625397	-1
ENSMUSG00000050945	18	5210029	5334437	-1
ENSMUSG00000022878	16	23146609	23158101	1
ENSMUSG00000021707	13	93124738	93159008	1
ENSMUSG00000023443	X	133649936	133656622	-1
ENSMUSG00000031428	X	133527694	133533011	1
ENSMUSG00000024236	18	4920538	5119297	1
ENSMUSG00000062929	12	55959804	55963864	-1
ENSMUSG00000082488	13	92001037	92001647	1
ENSMUSG00000042359	2	76244565	76438704	1
ENSMUSG00000075270	2	75827198	76176831	-1
ENSMUSG00000075272	2	75814129	75816257	-1
ENSMUSG00000027109	2	72774484	72818503	-1
ENSMUSG00000004085	2	72123694	72280667	1
ENSMUSG00000023391	2	71381466	71384749	-1
ENSMUSG00000027010	2	71109120	71205806	-1
ENSMUSG00000041997	2	70550464	70663785	-1
ENSMUSG00000018669	11	96768740	96777810	-1
ENSMUSG00000091342	11	94810494	94811645	-1
ENSMUSG00000027412	2	160706406	160731738	1
ENSMUSG00000075610	11	94638531	94644017	-1
ENSMUSG00000016933	2	160557036	160601496	1
ENSMUSG00000091032	2	160544101	160546269	-1
ENSMUSG00000078956	2	160394115	160445707	-1
ENSMUSG00000034848	2	66022384	66094674	-1
ENSMUSG00000026994	2	65920823	65963051	-1
ENSMUSG00000039110	11	94362661	94383056	-1
ENSMUSG00000010080	11	94350913	94361288	-1
ENSMUSG00000037754	2	158491134	158592070	1
ENSMUSG00000075318	2	65458914	65605504	1
ENSMUSG00000057182	2	65295175	65405684	-1
ENSMUSG00000044405	2	158328348	158333934	1
ENSMUSG00000038369	2	155216401	155299630	-1
ENSMUSG00000038383	2	155072732	155183166	-1
ENSMUSG00000069785	11	85660292	85663835	-1
ENSMUSG00000027598	2	154959245	155052591	1
ENSMUSG00000084897	2	154844002	154852840	1
ENSMUSG00000027596	2	154617138	154876748	1
